From,To,distance,time
571QD814,571QC813,4.196724924,8.393449848
571QD815,571QC813,5.751675522,11.50335104
571QD816,571QC813,4.931222103,9.862444207
571QD818,571QC813,4.42176211,8.843524219
571QD820,571QC813,3.138588257,6.277176513
571QD821,571QC813,5.967729782,11.93545956
571NF801,571QC813,3.383016583,6.766033166
571NF805,571QC813,3.537312522,7.074625044
571NF806,571QC813,4.638714778,9.277429557
571NF807,571QC813,2.006775328,4.013550656
571NF808,571QC813,6.620507755,13.24101551
571NF809,571QC813,5.813373773,11.62674755
571AG803,571QC813,4.30305519,8.60611038
571AG806,571QC813,2.10520159,4.210403179
571QE801,571QC813,3.162381626,6.324763251
571QE807,571QC813,2.340720061,4.681440121
571QE813,571QC813,4.634978884,9.269957768
571QE814,571QC813,4.384605753,8.769211507
571QE819,571QC813,3.039242898,6.078485795
571QE820,571QC813,3.410911994,6.821823988
571QE821,571QC813,3.791380643,7.582761287
571QE827,571QC813,4.165240964,8.330481927
571QE837,571QC813,3.19571452,6.39142904
571QC806,571QC813,2.912502995,5.82500599
571QC807,571QC813,2.911928891,5.823857782
571QC808,571QC813,2.46256125,4.9251225
571QE806,571QC813,4.868965289,9.737930579
571QE810,571QC813,4.736142437,9.472284874
571QE815,571QC813,6.155173182,12.31034636
571QE816,571QC813,6.276244812,12.55248962
571QE823,571QC813,5.692261234,11.38452247
571QE825,571QC813,5.596019995,11.19203999
571QE826,571QC813,4.863780249,9.727560498
571QE829,571QC813,6.226544157,12.45308831
571QE832,571QC813,6.252536307,12.50507261
571QE833,571QC813,5.150088353,10.30017671
571QC802,571QC814,2.130598885,4.26119777
571QC803,571QC814,1.80432449,3.608648981
571QC805,571QC814,0.269612411,0.539224823
571QC809,571QC814,1.943112971,3.886225941
571QC811,571QC814,0.918131287,1.836262574
571QC813,571QC814,0.662439149,1.324878297
571QC814,571QC814,0,0
571QC816,571QC814,1.723600503,3.447201007
571QC820,571QC814,2.248421203,4.496842407
571QC822,571QC814,1.621399524,3.242799048
571QC823,571QC814,1.135442039,2.270884079
571QC824,571QC814,0.5163187,1.0326374
571QC828,571QC814,1.761417402,3.522834804
571QC826,571QC814,1.951680457,3.903360914
571QD802,571QC814,6.762097056,13.52419411
571QD804,571QC814,6.107107072,12.21421414
571QD809,571QC814,6.01147413,12.02294826
571QD812,571QC814,5.229707034,10.45941407
571QD813,571QC814,5.967207261,11.93441452
571QD814,571QC814,4.494415206,8.988830411
571QD815,571QC814,6.119918803,12.23983761
571QD816,571QC814,5.474688134,10.94937627
571QD818,571QC814,5.047446077,10.09489215
571QD820,571QC814,3.585051521,7.170103042
571QD821,571QC814,6.469907277,12.93981455
571NF801,571QC814,3.770836869,7.541673737
571NF805,571QC814,3.864012866,7.728025732
571NF806,571QC814,5.002614757,10.00522951
571NF807,571QC814,2.240232281,4.480464562
571NF808,571QC814,6.747334089,13.49466818
571NF809,571QC814,6.084634677,12.16926935
571AG803,571QC814,3.874271585,7.748543169
571AG806,571QC814,1.981428754,3.962857508
571QE801,571QC814,3.809418265,7.61883653
571QE807,571QC814,2.96756044,5.935120879
571QE813,571QC814,5.284307775,10.56861555
571QE814,571QC814,5.035605838,10.07121168
571QE819,571QC814,3.622177983,7.244355966
571QE820,571QC814,3.951694736,7.903389472
571QE821,571QC814,4.31251421,8.625028419
571QE827,571QC814,4.827691332,9.655382665
571QE837,571QC814,3.854666137,7.709332275
571QC806,571QC814,3.435018361,6.870036721
571QC807,571QC814,3.434341145,6.868682289
571QC808,571QC814,2.97790937,5.95581874
571QE806,571QC814,5.52912591,11.05825182
571QE810,571QC814,5.366706268,10.73341254
571QE815,571QC814,6.779535578,13.55907116
571QE816,571QC814,6.889173108,13.77834622
571QE823,571QC814,6.347039768,12.69407954
571QE825,571QC814,6.240624609,12.48124922
571QE826,571QC814,5.505893439,11.01178688
571QE829,571QC814,6.889074898,13.7781498
571QE832,571QC814,6.911654846,13.82330969
571QE833,571QC814,5.758276394,11.51655279
571QC802,571QC816,3.169780266,6.339560532
571QC803,571QC816,2.774434455,5.548868909
571QC805,571QC816,1.701980661,3.403961323
571QC809,571QC816,2.844941771,5.689883543
571QC811,571QC816,1.832177694,3.664355389
571QC813,571QC816,2.278357135,4.55671427
571QC814,571QC816,1.723553608,3.447107216
571QC816,571QC816,0,0
571QC820,571QC816,0.761769985,1.523539969
571QC822,571QC816,0.912994694,1.825989388
571QC823,571QC816,1.421455896,2.842911793
571QC824,571QC816,1.643466544,3.286933088
571QC828,571QC816,1.285549466,2.571098932
571QC826,571QC816,0.374332276,0.748664553
571QD802,571QC816,7.032446355,14.06489271
571QD804,571QC816,6.486104238,12.97220848
571QD809,571QC816,5.955683466,11.91136693
571QD812,571QC816,5.37717373,10.75434746
571QD813,571QC816,5.771304861,11.54260972
571QD814,571QC816,4.578876584,9.157753167
571QD815,571QC816,6.2900775,12.580155
571QD816,571QC816,6.237723823,12.47544765
571QD818,571QC816,6.165683179,12.33136636
571QD820,571QC816,4.180624269,8.361248537
571QD821,571QC816,7.047317599,14.0946352
571NF801,571QC816,5.471516406,10.94303281
571NF805,571QC816,5.532928638,11.06585728
571NF806,571QC816,6.683796585,13.36759317
571NF807,571QC816,3.889098134,7.778196268
571NF808,571QC816,8.182684457,16.36536891
571NF809,571QC816,7.688847814,15.37769563
571AG803,571QC816,2.248276426,4.496552852
571AG806,571QC816,1.57775032,3.15550064
571QE801,571QC816,5.091416524,10.18283305
571QE807,571QC816,4.610691585,9.22138317
571QE813,571QC816,6.853812919,13.70762584
571QE814,571QC816,6.598834167,13.19766833
571QE819,571QC816,5.315823988,10.63164798
571QE820,571QC816,5.667852888,11.33570578
571QE821,571QC816,6.03378252,12.06756504
571QE827,571QC816,6.275179676,12.55035935
571QE837,571QC816,5.378644768,10.75728954
571QC806,571QC816,5.155203645,10.31040729
571QC807,571QC816,5.154545775,10.30909155
571QC808,571QC816,4.698732252,9.397464505
571QE806,571QC816,6.886438845,13.77287769
571QE810,571QC816,6.500669044,13.00133809
571QE815,571QC816,7.845773437,15.69154687
571QE816,571QC816,7.894212213,15.78842443
571QE823,571QC816,7.626916044,15.25383209
571QE825,571QC816,7.439731243,14.87946249
571QE826,571QC816,6.703992475,13.40798495
571QE829,571QC816,8.304267062,16.60853412
571QE832,571QC816,8.407031312,16.81406262
571QE833,571QC816,6.769743209,13.53948642
571QC802,571QC820,3.907944031,7.815888063
571QC803,571QC820,3.513456171,7.026912341
571QC805,571QC820,2.297152079,4.594304158
571QC809,571QC820,3.591223527,7.182447053
571QC811,571QC820,2.541779426,5.083558852
571QC813,571QC820,2.871310362,5.742620723
571QC814,571QC820,2.24842825,4.4968565
571QC816,571QC820,0.761784353,1.523568705
571QC820,571QC820,0,0
571QC822,571QC820,1.664081705,3.328163409
571QC823,571QC820,2.168233971,4.336467943
571QC824,571QC820,2.294522039,4.589044079
571QC828,571QC820,1.053604999,2.107209998
571QC826,571QC820,0.967904103,1.935808205
571QD802,571QC820,7.757136193,15.51427239
571QD804,571QC820,7.225659816,14.45131963
571QD809,571QC820,6.635104441,13.27020888
571QD812,571QC820,6.09541481,12.19082962
571QD813,571QC820,6.423524292,12.84704858
571QD814,571QC820,5.296093239,10.59218648
571QD815,571QC820,7.00494327,14.00988654
571QD816,571QC820,6.999441511,13.99888302
571QD818,571QC820,6.912986606,13.82597321
571QD820,571QC820,4.941513298,9.883026597
571QD821,571QC820,7.801442324,15.60288465
571NF801,571QC820,5.859408916,11.71881783
571NF805,571QC820,5.871839722,11.74367944
571NF806,571QC820,7.028105913,14.05621183
571NF807,571QC820,4.236517123,8.473034245
571NF808,571QC820,8.281986544,16.56397309
571NF809,571QC820,7.932829706,15.86565941
571AG803,571QC820,2.254804815,4.509609631
571AG806,571QC820,2.312659414,4.625318828
571QE801,571QC820,5.812914117,11.62582823
571QE807,571QC820,5.209189678,10.41837936
571QE813,571QC820,7.498870455,14.99774091
571QE814,571QC820,7.246365273,14.49273055
571QE819,571QC820,5.868494074,11.73698815
571QE820,571QC820,6.179144372,12.35828874
571QE821,571QC820,6.524549019,13.04909804
571QE827,571QC820,6.964144599,13.9282892
571QE837,571QC820,6.039215017,12.07843003
571QC806,571QC820,5.654680757,11.30936151
571QC807,571QC820,5.653944088,11.30788818
571QC808,571QC820,5.197648585,10.39529717
571QE806,571QC820,7.599754308,15.19950862
571QE810,571QC820,7.247191801,14.4943836
571QE815,571QC820,8.600279343,17.20055869
571QE816,571QC820,8.652378327,17.30475665
571QE823,571QC820,8.356609001,16.713218
571QE825,571QC820,8.180788646,16.36157729
571QE826,571QC820,7.443652427,14.88730485
571QE829,571QC820,9.006713604,18.01342721
571QE832,571QC820,9.085144982,18.17028996
571QE833,571QC820,7.526359608,15.05271922
571QC802,571QC822,2.411749894,4.823499789
571QC803,571QC822,2.023545813,4.047091625
571QC805,571QC822,1.460432955,2.92086591
571QC809,571QC822,2.064194654,4.128389308
571QC811,571QC822,1.251554452,2.503108904
571QC813,571QC822,1.947948807,3.895897615
571QC814,571QC822,1.621340025,3.24268005
571QC816,571QC822,0.912978937,1.825957873
571QC820,571QC822,1.664020125,3.328040249
571QC822,571QC822,0,0
571QC823,571QC822,0.737766049,1.475532097
571QC824,571QC822,1.277198216,2.554396433
571QC828,571QC822,2.056849848,4.113699695
571QC826,571QC822,0.760581137,1.521162275
571QD802,571QC822,6.124902776,12.24980555
