id,from,fromDepot,Total,start,end
1,571QKC,571FA,185.7268,165,250
1,571QKC,571FB,27.0974,165,250
1,571QKC,571G,351.769,165,250
1,571QKC,571NC,280.6468,165,250
1,571QKC,571NH,351.0232,165,250
1,571QKC,571QKA,359.4304,165,250
1,571QKC,571QKE,351.204,165,250
1,571QKC,571QKF,570.7856,165,250
1,571QKC,571TP,229.4578,165,250
1,571QKC,571WW,75.0772,165,250
1,571QKE,571D,742.2744,165,250
1,571QKE,571FA,494.8496,165,250
1,571QKE,571FB,121.814,165,250
1,571QKE,571G,463.8876,165,250
1,571QKE,571NC,509.404,165,250
1,571QKE,571NH,370.1654,165,250
1,571QKE,571QKA,543.8916,165,250
1,571QKE,571QKC,464.7916,165,250
1,571QKE,571QKF,918.1928,165,250
1,571QKE,571TP,363.9504,165,250
1,571QKE,571WW,260.5328,165,250
1,571QKF,571D,1072.596,165,250
1,571QKF,571FA,671.4008,165,250
1,571QKF,571FB,94.7166,165,250
1,571QKF,571G,955.3698,165,250
1,571QKF,571NC,948.5672,165,250
1,571QKF,571NH,719.1998,165,250
1,571QKF,571QKA,837.5108,165,250
1,571QKF,571QKC,694.498,165,250
1,571QKF,571QKE,1035.2608,165,250
1,571QKF,571TP,817.1482,165,250
1,571QKF,571WW,258.544,165,250
1,571D,571AD,726.4544,270,360
1,571D,571B,333.1692,270,360
1,571D,571DA,396.1328,270,360
1,571D,571DB,157.2508,270,360
1,571D,571DJ,249.956,270,360
1,571D,571J,254.702,270,360
1,571D,571JB,586.2892,270,360
1,571D,571KF,250.9052,270,360
1,571D,571KL,335.0676,270,360
1,571D,571QA,276.2172,270,360
1,571FA,571CC,478.7132,270,360
1,571FA,571FN,382.844,270,360
1,571FA,571FP,189.2072,270,360
1,571FA,571FQ,246.1592,270,360
1,571FA,571FX,222.1128,270,360
1,571FA,571HK,177.5004,270,360
1,571FA,571KM,482.51,270,360
1,571FA,571LB,299.9472,270,360
1,571FA,571LH,132.5716,270,360
1,571FB,571FD,205.3436,270,360
1,571FB,571FR,211.31,270,360
1,571FB,571FS,84.524,270,360
1,571FB,571SH,95.711,270,360
1,571G,571FJ,112.8644,270,360
1,571G,571FK,184.9584,270,360
1,571G,571GB,116.0962,270,360
1,571G,571GC,101.4288,270,360
1,571G,571HG,276.6918,270,360
1,571G,571KH,141.4534,270,360
1,571G,571L,501.6748,270,360
1,571G,571LA,170.5396,270,360
1,571G,571SA,364.199,270,360
1,571G,571SB,115.599,270,360
1,571G,571SC,122.3112,270,360
1,571G,571SD,256.058,270,360
1,571G,571SE,81.5408,270,360
1,571G,571SF,547.1686,270,360
1,571G,571SP,92.9764,270,360
1,571G,571SQ,61.6528,270,360
1,571G,571ST,85.5184,270,360
1,571G,571TH,176.0088,270,360
1,571NC,571AC,446.4404,270,360
1,571NC,571AQ,319.2476,270,360
1,571NC,571HB,535.0324,270,360
1,571NC,571HC,462.5768,270,360
1,571NC,571K,258.1824,270,360
1,571NC,571KT,304.6932,270,360
1,571NC,571TD,287.2912,270,360
1,571NC,571TM,328.7396,270,360
1,571NH,571AB,274.2058,270,360
1,571NH,571HP,440.2706,270,360
1,571NH,571JC,253.572,270,360
1,571NH,571NA,415.162,270,360
1,571NH,571NB,355.2494,270,360
1,571NH,571NE,418.6424,270,360
1,571NH,571QB,375.6346,270,360
1,571NH,571TL,209.0726,270,360
1,571QKA,571AG,919.142,270,360
1,571QKA,571DC,327.1576,270,360
1,571QKA,571NF,209.1404,270,360
1,571QKA,571QC,284.4436,270,360
1,571QKA,571QD,977.9924,270,360
1,571QKA,571QE,799.8592,270,360
1,571QKC,571AE,189.84,270,360
1,571QKC,571AJ,652.7332,270,360
1,571QKC,571CD,354.0516,270,360
1,571QKC,571HN,312.2868,270,360
1,571QKC,571KJ,527.4388,270,360
1,571QKC,571PG,498.6464,270,360
1,571QKC,571QF,257.2332,270,360
1,571QKE,571CK,552.7508,270,360
1,571QKE,571CL,307.8572,270,360
1,571QKE,571FB,251.538,270,360
1,571QKE,571FC,354.6844,270,360
1,571QKE,571FF,360.3796,270,360
1,571QKE,571FH,284.4436,270,360
1,571QKE,571FL,295.5176,270,360
1,571QKE,571FM,394.8672,270,360
1,571QKE,571FT,230.3392,270,360
1,571QKE,571HJ,322.728,270,360
1,571QKE,571KB,356.8992,270,360
1,571QKE,571LD,266.4088,270,360
1,571QKE,571PD,436.9484,270,360
1,571QKF,571AA,293.6192,270,360
1,571QKF,571AF,737.212,270,360
1,571QKF,571AM,156.3016,270,360
1,571QKF,571BM,413.2184,270,360
1,571QKF,571CS,811.566,270,360
1,571QKF,571E,374.3012,270,360
1,571QKF,571EA,224.9604,270,360
1,571QKF,571KA,334.7512,270,360
1,571QKF,571P,196.168,270,360
1,571QKF,571PB,769.8012,270,360
1,571QKF,571PC,642.6084,270,360
1,571QKF,571PF,298.6816,270,360
1,571QKF,571PH,541.044,270,360
1,571TP,571H,491.4822,270,360
1,571TP,571KC,157.3638,270,360
1,571TP,571NG,279.1778,270,360
1,571TP,571TB,265.2562,270,360
1,571TP,571TC,335.8586,270,360
1,571TP,571TE,203.3548,270,360
1,571TP,571TF,480.5438,270,360
1,571TP,571TK,254.0692,270,360
1,571TP,571TN,256.8038,270,360
1,571TP,571TQ,208.824,270,360
1,571WW,571FE,350.0288,270,360
1,571WW,571FG,81.7894,270,360
1,571WW,571M,226.226,270,360
1,571WW,571MB,158.6068,270,360
1,571WW,571MC,136.4814,270,360
1,571WW,571MD,136.4814,270,360
1,571WW,571MF,97.9484,270,360
1,571WW,571MQ,282.161,270,360
1,571WW,571QM,8.9496,270,360
