id,网点代码,代码,件量,start,end
1,571CL,FC5713733,2,0,150
1,571PG,FC5713730,9,0,150
1,571PG,FC5713729,9,0,150
1,571CK,FC5713727,11,0,150
1,571QE,FC5713726,8,0,150
1,571LD,FC5713725,4,0,150
1,571CK,FC5713724,11,0,150
1,571PG,FC5713722,8,0,150
1,571D,FC5713721,9,0,150
1,571AC,FC5713720,7,0,150
1,571CK,FC5713719,7,0,150
1,571HB,FC5713718,17,0,150
1,571AG,FC5713716,7,0,150
1,571AG,FC5713715,7,0,150
1,571QE,FC5713710,6,0,150
1,571QD,FC5713709,9,0,150
1,571QD,FC5713708,11,0,150
1,571QD,FC5713707,9,0,150
1,571QD,FC5713706,9,0,150
1,571QE,FC5713704,7,0,150
1,571QE,FC5713703,7,0,150
1,571QE,FC5713702,8,0,150
1,571QE,FC5713701,4,0,150
1,571QE,FC5713700,7,0,150
1,571QE,FC5713699,4,0,150
1,571QE,FC5713698,7,0,150
1,571QE,FC5713697,7,0,150
1,571QE,FC5713696,7,0,150
1,571QE,FC5713695,6,0,150
1,571QE,FC5713694,4,0,150
1,571QE,FC5713693,5,0,150
1,571QE,FC5713692,7,0,150
1,571TD,FC5713687,25,0,150
1,571TD,FC5713686,25,0,150
1,571HN,FC5713685,12,0,150
1,571QF,FC5713684,13,0,150
1,571B,FC5713683,24,0,150
1,571HJ,FC5713682,3,0,150
1,571FC,FC5713681,3,0,150
1,571PD,FC5713680,11,0,150
1,571PD,FC5713679,7,0,150
1,571PD,FC5713677,7,0,150
1,571FA,FC5713676,4,0,150
1,571FA,FC5713675,4,0,150
1,571CK,FC5713674,11,0,150
1,571AJ,FC5713673,14,0,150
1,571AJ,FC5713672,18,0,150
1,571DC,FC5713671,14,0,150
1,571CS,FC5713670,21,0,150
1,571FC,FC5713669,3,0,150
1,571CK,FC5713668,6,0,150
1,571PD,FC5713667,7,0,150
1,571KB,FC5713666,23,0,150
1,571CL,FC5713665,5,0,150
1,571FL,FC5713664,17,0,150
1,571HK,FC5713663,11,0,150
1,571KF,FC5713662,4,0,150
1,571DJ,FC5713661,7,0,150
1,571K,FC5713660,6,0,150
1,571CS,FC5713659,21,0,150
1,571QD,FC5713658,7,0,150
1,571QD,FC5713657,7,0,150
1,571QC,FC5713656,5,0,150
1,571CK,FC5713655,10,0,150
1,571EA,FC5713646,20,0,150
1,571DJ,FC5713644,8,0,150
1,571FL,FC5713643,10,0,150
1,571KM,FC5713640,28,0,150
1,571HC,FC5713639,8,0,150
1,571PH,FC5713633,31,0,150
1,571PG,FC5713629,11,0,150
1,571CL,FC5713628,5,0,150
1,571AC,FC5713627,5,0,150
1,571K,FC5713626,12,0,150
1,571FA,FC5713625,4,0,150
1,571HJ,FC5713623,3,0,150
1,571K,FC5713622,6,0,150
1,571PG,FC5713611,9,0,150
1,571QF,FC5713608,13,0,150
1,571DC,FC5713606,18,0,150
1,571HN,FC5713605,9,0,150
1,571DC,FC5713604,18,0,150
1,571HN,FC5713603,9,0,150
1,571AE,FC5713602,6,0,150
1,571AE,FC5713601,9,0,150
1,571DB,FC5713600,20,0,150
1,571DB,FC5713599,20,0,150
1,571HN,FC5713598,14,0,150
1,571QF,FC5713597,25,0,150
1,571QA,FC5713594,6,0,150
1,571HB,FC5713593,20,0,150
1,571QE,FC5713591,5,0,150
1,571PD,FC5713590,11,0,150
1,571PC,FC5713589,18,0,150
1,571HC,FC5713588,6,0,150
1,571AC,FC5713587,8,0,150
1,571AC,FC5713586,8,0,150
1,571PB,FC5713585,45,0,150
1,571PB,FC5713584,45,0,150
1,571PB,FC5713583,45,0,150
1,571PB,FC5713582,45,0,150
1,571P,FC5713581,10,0,150
1,571CD,FC5713580,6,0,150
1,571CK,FC5713579,11,0,150
1,571NC,FC5713578,11,0,150
1,571FC,FC5713577,4,0,150
1,571FA,FC5713576,6,0,150
1,571FT,FC5713575,15,0,150
1,571AM,FC5713574,11,0,150
1,571CK,FC5713572,6,0,150
1,571CK,FC5713571,6,0,150
1,571AC,FC5713569,10,0,150
1,571HC,FC5713568,8,0,150
1,571FL,FC5713567,13,0,150
1,571FB,FC5713566,7,0,150
1,571KA,FC5713565,9,0,150
1,571D,FC5713564,14,0,150
1,571D,FC5713563,19,0,150
1,571KF,FC5713562,4,0,150
1,571QD,FC5713561,7,0,150
1,571NF,FC5713560,9,0,150
1,571DA,FC5713559,3,0,150
