from,to,dist,time
571AD,571SP,159.442,273.3291429
571AD,571SQ,118.702,203.4891429
571AD,571ST,132.876,227.7874286
571AD,571NB,24.1,41.31428571
571AD,571NH,22.747,38.99485714
571AD,571QB,31.638,54.23657143
571AD,571FX,25.756,44.15314286
571AD,571KM,23.858,40.89942857
571AD,571TC,26.231,44.96742857
571AD,571TB,11.127,19.07485714
571AD,571TE,23.41,40.13142857
571AD,571TK,12.784,21.91542857
571AD,571TP,23.652,40.54628571
571AD,571W,22.613,38.76514286
571AD,571WA,32.801,56.23028571
571AD,571WW,38.279,65.62114286
571AF,571AA,2.837,4.863428571
571AF,571AD,4.719,8.089714286
571AF,571AG,17.993,30.84514286
571AF,571AC,22.112,37.90628571
571AF,571AQ,29.241,50.12742857
571AF,571AM,5.693,9.759428571
571AF,571AB,48.672,83.43771429
571AF,571JC,49.894,85.53257143
571AF,571KH,59.409,101.844
571AF,571TH,83.007,142.2977143
571AF,571TL,37.708,64.64228571
571AF,571DA,13.729,23.53542857
571AF,571K,8.222,14.09485714
571AF,571KF,10.155,17.40857143
571AF,571KC,14.826,25.416
571AF,571TD,15.316,26.256
571AF,571TN,18.995,32.56285714
571AF,571HC,13.951,23.916
571AF,571TM,11.958,20.49942857
571AF,571B,3.785,6.488571429
571AF,571BM,5.571,9.550285714
571AF,571CAE,13.299,22.79828571
571AF,571FC,15.533,26.628
571AF,571FN,20.801,35.65885714
571AF,571LD,13.084,22.42971429
571AF,571FT,14.815,25.39714286
571AF,571KB,13.43,23.02285714
571AF,571CS,3.169,5.432571429
571AF,571D,7.086,12.14742857
571AF,571DC,15.333,26.28514286
571AF,571CC,24.124,41.35542857
571AF,571FQ,30.395,52.10571429
571AF,571HK,25.224,43.24114286
571AF,571E,4.084,7.001142857
571AF,571EA,3.54,6.068571429
571AF,571HB,21.923,37.58228571
571AF,571KT,22.263,38.16514286
571AF,571DB,12.854,22.03542857
571AF,571DJ,6.807,11.66914286
571AF,571H,27.254,46.72114286
571AF,571TF,24.386,41.80457143
571AF,571TQ,21.859,37.47257143
571AF,571FF,14.907,25.55485714
571AF,571FH,19.738,33.83657143
571AF,571FL,17.364,29.76685714
571AF,571FJ,116.33,199.4228571
571AF,571SC,99.073,169.8394286
571AF,571FG,58.634,100.5154286
571AF,571MQ,42.058,72.09942857
571AF,571NF,15.508,26.58514286
571AF,571NG,25.761,44.16171429
571AF,571FA,18.821,32.26457143
571AF,571FP,17.222,29.52342857
571AF,571HJ,12.805,21.95142857
571AF,571LB,15.125,25.92857143
571AF,571QKA,15.645,26.82
571AF,571QKB,31.342,53.72914286
571AF,571QKC,14.804,25.37828571
571AF,571QKD,22.025,37.75714286
571AF,571QKE,14.804,25.37828571
571AF,571QKF,5.685,9.745714286
571AF,571QKG,21.123,36.21085714
571AF,571QKT,0,0
571AF,571FM,14.451,24.77314286
571AF,571FD,43.186,74.03314286
571AF,571FR,27.489,47.124
571AF,571FS,54.968,94.23085714
571AF,571LH,28.151,48.25885714
571AF,571SH,41.287,70.77771429
571AF,571FK,66.341,113.7274286
571AF,571G,44.486,76.26171429
571AF,571GB,35.541,60.92742857
571AF,571GC,52.024,89.184
571AF,571HG,56.333,96.57085714
571AF,571SB,44.535,76.34571429
571AF,571SD,41.366,70.91314286
571AF,571CK,11.92,20.43428571
571AF,571CL,15.046,25.79314286
