from,to,dist,time
571AF,571FL,17.364,39.728
571AF,571FJ,116.33,232.66
571AF,571SC,99.073,198.146
571AF,571FG,58.634,122.268
571AF,571MQ,42.058,89.116
571AF,571NF,15.508,31.016
571AF,571NG,25.761,51.522
571AF,571FA,18.821,42.642
571AF,571FP,17.222,39.444
571AF,571HJ,12.805,30.61
571AF,571LB,15.125,35.25
571AF,571QKA,15.645,31.29
571AF,571QKB,31.342,62.684
571AF,571QKC,14.804,29.608
571AF,571QKD,22.025,44.05
571AF,571QKE,14.804,34.608
571AF,571QKF,5.685,11.37
571AF,571QKG,21.123,42.246
571AF,571QKT,0,5
571AF,571FM,14.451,33.902
571AF,571FD,43.186,91.372
571AF,571FR,27.489,59.978
571AF,571FS,54.968,114.936
571AF,571LH,28.151,61.302
571AF,571SH,41.287,87.574
571AF,571FK,66.341,132.682
571AF,571G,44.486,88.972
571AF,571GB,35.541,71.082
571AF,571GC,52.024,104.048
571AF,571HG,56.333,112.666
571AF,571SB,44.535,89.07
571AF,571SD,41.366,82.732
571AF,571CK,11.92,28.84
571AF,571CL,15.046,35.092
571AF,571FB,15.31,35.62
571AF,571CD,8.304,16.608
571AF,571HN,13.228,26.456
571AF,571J,4.996,9.992
571AF,571JB,5.632,11.264
571AF,571KA,3.805,7.61
571AF,571KL,3.553,7.106
571AF,571FE,36.455,77.91
571AF,571MC,31.161,67.322
571AF,571MF,33.969,72.938
571AF,571M,32.083,69.166
571AF,571MB,29.286,63.572
571AF,571MD,43.384,91.768
571AF,571NA,29.501,59.002
571AF,571NE,23.21,46.42
571AF,571NC,10.989,21.978
571AF,571P,3.552,7.104
571AF,571PB,5.746,11.492
571AF,571PC,1.991,3.982
571AF,571PD,8.074,16.148
571AF,571AJ,6.566,13.132
571AF,571KJ,5.926,11.852
571AF,571PF,7.078,14.156
571AF,571PG,19.737,39.474
571AF,571PH,4.507,9.014
571AF,571AE,15.27,30.54
571AF,571HP,17.226,34.452
571AF,571QF,14.66,29.32
571AF,571QA,6.202,12.404
571AF,571QC,15.341,30.682
571AF,571QD,9.049,18.098
571AF,571QE,13.249,26.498
571AF,571QM,33.618,72.236
571AF,571L,87.284,174.568
571AF,571LA,85.796,171.592
571AF,571SF,160.684,321.368
571AF,571SA,139.288,278.576
571AF,571SE,134.269,268.538
571AF,571SP,154.861,309.722
571AF,571SQ,114.121,228.242
571AF,571ST,128.295,256.59
571AF,571NB,18.734,37.468
571AF,571NH,20.265,40.53
571AF,571QB,26.326,52.652
571AF,571FX,20.067,45.134
571AF,571KM,18.169,41.338
571AF,571TC,29.554,59.108
571AF,571TB,17.209,34.418
571AF,571TE,27.388,54.776
571AF,571TK,15.996,31.992
571AF,571TP,26.975,53.95
571AF,571W,21.845,43.69
571AF,571WA,27.112,59.224
571AF,571WW,32.59,70.18
571AG,571AA,16.209,32.418
571AG,571AD,12.468,24.936
571AG,571AF,16.048,32.096
571AG,571AC,34.414,68.828
571AG,571AQ,41.941,83.882
571AG,571AM,21.418,42.836
571AG,571AB,43.206,86.412
571AG,571JC,44.428,88.856
571AG,571KH,53.943,107.886
571AG,571TH,77.541,155.082
571AG,571TL,32.242,64.484
571AG,571DA,19.931,39.862
571AG,571K,18.894,37.788
571AG,571KF,16.246,32.492
571AG,571KC,21.037,42.074
