from,to,dist,time
571AD,571QF,21.911,29.21466667
571AD,571QA,4.029,5.372
571AD,571QC,9.65,12.86666667
571AD,571QD,6.79,9.053333333
571AD,571QE,7.547,10.06266667
571AD,571QM,39.307,52.40933333
571AD,571L,91.865,122.4866667
571AD,571LA,90.377,120.5026667
571AD,571SF,165.265,220.3533333
571AD,571SA,143.869,191.8253333
571AD,571SE,138.85,185.1333333
571AD,571SP,159.442,212.5893333
571AD,571SQ,118.702,158.2693333
571AD,571ST,132.876,177.168
571AD,571NB,24.1,32.13333333
571AD,571NH,22.747,30.32933333
571AD,571QB,31.638,42.184
571AD,571FX,25.756,34.34133333
571AD,571KM,23.858,31.81066667
571AD,571TC,26.231,34.97466667
571AD,571TB,11.127,14.836
571AD,571TE,23.41,31.21333333
571AD,571TK,12.784,17.04533333
571AD,571TP,23.652,31.536
571AD,571W,22.613,30.15066667
571AD,571WA,32.801,43.73466667
571AD,571WW,38.279,51.03866667
571AF,571AA,2.837,3.782666667
571AF,571AD,4.719,6.292
571AF,571AG,17.993,23.99066667
571AF,571AC,22.112,29.48266667
571AF,571AQ,29.241,38.988
571AF,571AM,5.693,7.590666667
571AF,571AB,48.672,64.896
571AF,571JC,49.894,66.52533333
571AF,571KH,59.409,79.212
571AF,571TH,83.007,110.676
571AF,571TL,37.708,50.27733333
571AF,571DA,13.729,18.30533333
571AF,571K,8.222,10.96266667
571AF,571KF,10.155,13.54
571AF,571KC,14.826,19.768
571AF,571TD,15.316,20.42133333
571AF,571TN,18.995,25.32666667
571AF,571HC,13.951,18.60133333
571AF,571TM,11.958,15.944
571AF,571B,3.785,5.046666667
571AF,571BM,5.571,7.428
571AF,571CAE,13.299,17.732
571AF,571FC,15.533,20.71066667
571AF,571FN,20.801,27.73466667
571AF,571LD,13.084,17.44533333
571AF,571FT,14.815,19.75333333
571AF,571KB,13.43,17.90666667
571AF,571CS,3.169,4.225333333
571AF,571D,7.086,9.448
571AF,571DC,15.333,20.444
571AF,571CC,24.124,32.16533333
571AF,571FQ,30.395,40.52666667
571AF,571HK,25.224,33.632
571AF,571E,4.084,5.445333333
571AF,571EA,3.54,4.72
571AF,571HB,21.923,29.23066667
571AF,571KT,22.263,29.684
571AF,571DB,12.854,17.13866667
571AF,571DJ,6.807,9.076
571AF,571H,27.254,36.33866667
571AF,571TF,24.386,32.51466667
571AF,571TQ,21.859,29.14533333
571AF,571FF,14.907,19.876
571AF,571FH,19.738,26.31733333
571AF,571FL,17.364,23.152
571AF,571FJ,116.33,155.1066667
571AF,571SC,99.073,132.0973333
571AF,571FG,58.634,78.17866667
571AF,571MQ,42.058,56.07733333
571AF,571NF,15.508,20.67733333
571AF,571NG,25.761,34.348
571AF,571FA,18.821,25.09466667
571AF,571FP,17.222,22.96266667
571AF,571HJ,12.805,17.07333333
571AF,571LB,15.125,20.16666667
571AF,571QKA,15.645,20.86
571AF,571QKB,31.342,41.78933333
571AF,571QKC,14.804,19.73866667
571AF,571QKD,22.025,29.36666667
571AF,571QKE,14.804,19.73866667
571AF,571QKF,5.685,7.58
571AF,571QKG,21.123,28.164
571AF,571QKT,0,0
571AF,571FM,14.451,19.268
571AF,571FD,43.186,57.58133333
571AF,571FR,27.489,36.652
571AF,571FS,54.968,73.29066667
571AF,571LH,28.151,37.53466667
571AF,571SH,41.287,55.04933333
571AF,571FK,66.341,88.45466667
571AF,571G,44.486,59.31466667
571AF,571GB,35.541,47.388
571AF,571GC,52.024,69.36533333
571AF,571HG,56.333,75.11066667
571AF,571SB,44.535,59.38
571AF,571SD,41.366,55.15466667
571AF,571CK,11.92,15.89333333
571AF,571CL,15.046,20.06133333
571AF,571FB,15.31,20.41333333
571AF,571CD,8.304,11.072
571AF,571HN,13.228,17.63733333
571AF,571J,4.996,6.661333333
571AF,571JB,5.632,7.509333333
571AF,571KA,3.805,5.073333333
571AF,571KL,3.553,4.737333333
571AF,571FE,36.455,48.60666667
571AF,571MC,31.161,41.548
571AF,571MF,33.969,45.292
571AF,571M,32.083,42.77733333
571AF,571MB,29.286,39.048
571AF,571MD,43.384,57.84533333
571AF,571NA,29.501,39.33466667
571AF,571NE,23.21,30.94666667
571AF,571NC,10.989,14.652
571AF,571P,3.552,4.736
571AF,571PB,5.746,7.661333333
571AF,571PC,1.991,2.654666667
571AF,571PD,8.074,10.76533333
571AF,571AJ,6.566,8.754666667
571AF,571KJ,5.926,7.901333333
571AF,571PF,7.078,9.437333333
571AF,571PG,19.737,26.316
571AF,571PH,4.507,6.009333333
571AF,571AE,15.27,20.36
571AF,571HP,17.226,22.968
571AF,571QF,14.66,19.54666667
571AF,571QA,6.202,8.269333333
571AF,571QC,15.341,20.45466667
571AF,571QD,9.049,12.06533333
571AF,571QE,13.249,17.66533333
571AF,571QM,33.618,44.824
571AF,571L,87.284,116.3786667
571AF,571LA,85.796,114.3946667
571AF,571SF,160.684,214.2453333
571AF,571SA,139.288,185.7173333
571AF,571SE,134.269,179.0253333
571AF,571SP,154.861,206.4813333
571AF,571SQ,114.121,152.1613333
571AF,571ST,128.295,171.06
571AF,571NB,18.734,24.97866667
571AF,571NH,20.265,27.02
571AF,571QB,26.326,35.10133333
571AF,571FX,20.067,26.756
571AF,571KM,18.169,24.22533333
571AF,571TC,29.554,39.40533333
571AF,571TB,17.209,22.94533333
571AF,571TE,27.388,36.51733333
571AF,571TK,15.996,21.328
571AF,571TP,26.975,35.96666667
571AF,571W,21.845,29.12666667
571AF,571WA,27.112,36.14933333
571AF,571WW,32.59,43.45333333
571AG,571AA,16.209,21.612
571AG,571AD,12.468,16.624
571AG,571AF,16.048,21.39733333
571AG,571AC,34.414,45.88533333
571AG,571AQ,41.941,55.92133333
571AG,571AM,21.418,28.55733333
571AG,571AB,43.206,57.608
571AG,571JC,44.428,59.23733333
571AG,571KH,53.943,71.924
571AG,571TH,77.541,103.388
571AG,571TL,32.242,42.98933333
571AG,571DA,19.931,26.57466667
571AG,571K,18.894,25.192
571AG,571KF,16.246,21.66133333
571AG,571KC,21.037,28.04933333
571AG,571TD,23.623,31.49733333
571AG,571TN,24.773,33.03066667
571AG,571HC,26.253,35.004
571AG,571TM,24.26,32.34666667
571AG,571B,13.025,17.36666667
571AG,571BM,18.943,25.25733333
571AG,571CAE,26.671,35.56133333
571AG,571FC,32.203,42.93733333
571AG,571FN,37.822,50.42933333
571AG,571LD,29.754,39.672
571AG,571FT,28.187,37.58266667
571AG,571KB,26.802,35.736
571AG,571CS,16.541,22.05466667
571AG,571D,13.226,17.63466667
571AG,571DC,6.637,8.849333333
571AG,571CC,48.14,64.18666667
571AG,571FQ,47.618,63.49066667
571AG,571HK,41.884,55.84533333
571AG,571E,17.456,23.27466667
571AG,571EA,18.99,25.32
571AG,571HB,34.225,45.63333333
571AG,571KT,34.565,46.08666667
571AG,571DB,16.589,22.11866667
571AG,571DJ,12.804,17.072
571AG,571H,35.009,46.67866667
571AG,571TF,32.995,43.99333333
571AG,571TQ,30.753,41.004
571AG,571FF,28.279,37.70533333
571AG,571FH,33.11,44.14666667
571AG,571FL,30.736,40.98133333
571AG,571FJ,110.864,147.8186667
571AG,571SC,99.241,132.3213333
571AG,571FG,70.812,94.416
571AG,571MQ,52.809,70.412
571AG,571NF,7.322,9.762666667
571AG,571NG,22.641,30.188
571AG,571FA,35.842,47.78933333
571AG,571FP,34.445,45.92666667
571AG,571HJ,29.475,39.3
571AG,571LB,32.348,43.13066667
571AG,571QKA,7.266,9.688
571AG,571QKB,48.565,64.75333333
571AG,571QKC,11.277,15.036
571AG,571QKD,34.327,45.76933333
571AG,571QKE,28.176,37.568
571AG,571QKF,21.41,28.54666667
571AG,571QKG,12.827,17.10266667
571AG,571QKT,0,0
571AG,571FM,27.823,37.09733333
571AG,571FD,49.951,66.60133333
571AG,571FR,39.337,52.44933333
571AG,571FS,61.733,82.31066667
571AG,571LH,45.922,61.22933333
571AG,571SH,53.135,70.84666667
571AG,571FK,63.71,84.94666667
571AG,571G,41.855,55.80666667
571AG,571GB,35.709,47.612
571AG,571GC,52.192,69.58933333
571AG,571HG,45.968,61.29066667
571AG,571SB,44.703,59.604
571AG,571SD,38.735,51.64666667
571AG,571CK,28.59,38.12
571AG,571CL,28.418,37.89066667
571AG,571FB,28.682,38.24266667
571AG,571CD,6.844,9.125333333
571AG,571HN,6.418,8.557333333
571AG,571J,11.365,15.15333333
571AG,571JB,10.788,14.384
571AG,571KA,18.696,24.928
571AG,571KL,14.422,19.22933333
571AG,571FE,47.206,62.94133333
571AG,571MC,41.912,55.88266667
571AG,571MF,44.72,59.62666667
571AG,571M,49.306,65.74133333
571AG,571MB,46.509,62.012
571AG,571MD,60.607,80.80933333
571AG,571NA,19.481,25.97466667
571AG,571NE,12.332,16.44266667
571AG,571NC,23.291,31.05466667
571AG,571P,20.129,26.83866667
571AG,571PB,22.937,30.58266667
571AG,571PC,17.387,23.18266667
571AG,571PD,21.446,28.59466667
571AG,571AJ,9.261,12.348
571AG,571KJ,9.76,13.01333333
571AG,571PF,22.087,29.44933333
571AG,571PG,24.744,32.992
571AG,571PH,21.185,28.24666667
571AG,571AE,10.744,14.32533333
571AG,571HP,9.16,12.21333333
571AG,571QF,11.133,14.844
571AG,571QA,8.183,10.91066667
571AG,571QC,6.645,8.86
571AG,571QD,5.785,7.713333333
571AG,571QE,6.698,8.930666667
571AG,571QM,50.841,67.788
571AG,571L,87.452,116.6026667
571AG,571LA,85.964,114.6186667
571AG,571SF,160.852,214.4693333
571AG,571SA,139.456,185.9413333
571AG,571SE,134.437,179.2493333
571AG,571SP,155.029,206.7053333
571AG,571SQ,114.289,152.3853333
571AG,571ST,128.463,171.284
571AG,571NB,13.322,17.76266667
571AG,571NH,11.969,15.95866667
571AG,571QB,20.86,27.81333333
571AG,571FX,37.29,49.72
571AG,571KM,35.392,47.18933333
571AG,571TC,36.414,48.552
571AG,571TB,18.744,24.992
571AG,571TE,25.383,33.844
571AG,571TK,22.207,29.60933333
571AG,571TP,34.034,45.37866667
571AG,571W,34.147,45.52933333
571AG,571WA,44.335,59.11333333
571AG,571WW,49.813,66.41733333
571AC,571AA,24.898,33.19733333
571AC,571AD,22.033,29.37733333
571AC,571AF,22.048,29.39733333
571AC,571AG,34.504,46.00533333
571AC,571AQ,5.311,7.081333333
571AC,571AM,18.699,24.932
571AC,571AB,87.23,116.3066667
571AC,571JC,88.452,117.936
571AC,571KH,97.967,130.6226667
571AC,571TH,121.565,162.0866667
571AC,571TL,76.266,101.688
571AC,571DA,24.996,33.328
571AC,571K,15.456,20.608
571AC,571KF,23.762,31.68266667
571AC,571KC,23.274,31.032
571AC,571TD,13.669,18.22533333
571AC,571TN,15.326,20.43466667
571AC,571HC,10.749,14.332
571AC,571TM,10.631,14.17466667
571AC,571B,23.228,30.97066667
571AC,571BM,27.632,36.84266667
571AC,571CAE,34.184,45.57866667
571AC,571FC,26.067,34.756
571AC,571FN,22.192,29.58933333
571AC,571LD,26.354,35.13866667
571AC,571FT,35.7,47.6
571AC,571KB,34.315,45.75333333
571AC,571CS,25.23,33.64
571AC,571D,20.693,27.59066667
571AC,571DC,31.844,42.45866667
571AC,571CC,22.87,30.49333333
571AC,571FQ,20.328,27.104
571AC,571HK,33.413,44.55066667
571AC,571E,26.145,34.86
571AC,571EA,25.266,33.688
571AC,571HB,6.136,8.181333333
571AC,571KT,3.087,4.116
571AC,571DB,26.461,35.28133333
571AC,571DJ,23.925,31.9
571AC,571H,22.699,30.26533333
571AC,571TF,20.471,27.29466667
571AC,571TQ,15.924,21.232
571AC,571FF,35.792,47.72266667
571AC,571FH,42.991,57.32133333
571AC,571FL,38.249,50.99866667
571AC,571FJ,144.845,193.1266667
571AC,571SC,122.541,163.388
571AC,571FG,48.328,64.43733333
571AC,571MQ,24.334,32.44533333
571AC,571NF,32.231,42.97466667
571AC,571NG,42.949,57.26533333
571AC,571FA,22.06,29.41333333
571AC,571FP,20.663,27.55066667
571AC,571HJ,24.033,32.044
571AC,571LB,18.566,24.75466667
571AC,571QKA,32.368,43.15733333
571AC,571QKB,21.036,28.048
571AC,571QKC,35.464,47.28533333
571AC,571QKD,1.881,2.508
571AC,571QKE,28.418,37.89066667
571AC,571QKF,18.691,24.92133333
571AC,571QKG,40.866,54.488
571AC,571QKT,0,0
571AC,571FM,35.336,47.11466667
571AC,571FD,33.119,44.15866667
571AC,571FR,42.454,56.60533333
571AC,571FS,44.901,59.868
571AC,571LH,30.207,40.276
571AC,571SH,52.055,69.40666667
571AC,571FK,92.907,123.876
571AC,571G,71.052,94.736
571AC,571GB,59.009,78.67866667
571AC,571GC,75.492,100.656
571AC,571HG,79.801,106.4013333
571AC,571SB,68.003,90.67066667
571AC,571SD,67.932,90.576
571AC,571CK,24.811,33.08133333
571AC,571CL,28.519,38.02533333
571AC,571FB,30.6,40.8
571AC,571CD,29.181,38.908
571AC,571HN,50.442,67.256
571AC,571J,25.908,34.544
571AC,571JB,24.509,32.67866667
571AC,571KA,18.546,24.728
571AC,571KL,23.135,30.84666667
571AC,571FE,18.731,24.97466667
571AC,571MC,13.437,17.916
571AC,571MF,16.245,21.66
571AC,571M,21.777,29.036
571AC,571MB,18.98,25.30666667
571AC,571MD,33.078,44.104
571AC,571NA,49.886,66.51466667
571AC,571NE,44.345,59.12666667
571AC,571NC,13.753,18.33733333
571AC,571P,24.855,33.14
571AC,571PB,21.581,28.77466667
571AC,571PC,23.571,31.428
571AC,571PD,30.9,41.2
571AC,571AJ,27.443,36.59066667
571AC,571KJ,26.838,35.784
571AC,571PF,26.115,34.82
571AC,571PG,53.941,71.92133333
571AC,571PH,20.632,27.50933333
571AC,571AE,54.768,73.024
571AC,571HP,53.184,70.912
571AC,571QF,35.32,47.09333333
571AC,571QA,25.32,33.76
