from,to,dist,time,????12????????,????5????????
571AF,571KA,3.805,7.61,#N/A,#N/A
571AF,571KL,3.553,7.106,#N/A,#N/A
571AF,571FE,36.455,77.91,#N/A,#N/A
571AF,571MC,31.161,67.322,#N/A,#N/A
571AF,571MF,33.969,72.938,#N/A,#N/A
571AF,571M,32.083,69.166,#N/A,#N/A
571AF,571MB,29.286,63.572,#N/A,#N/A
571AF,571MD,43.384,91.768,#N/A,#N/A
571AF,571NA,29.501,59.002,#N/A,#N/A
571AF,571NE,23.21,46.42,#N/A,#N/A
571AF,571NC,10.989,21.978,#N/A,#N/A
571AF,571P,3.552,7.104,#N/A,#N/A
571AF,571PB,5.746,11.492,#N/A,#N/A
571AF,571PC,1.991,3.982,#N/A,#N/A
571AF,571PD,8.074,16.148,#N/A,#N/A
571AF,571AJ,6.566,13.132,#N/A,#N/A
571AF,571KJ,5.926,11.852,#N/A,#N/A
571AF,571PF,7.078,14.156,#N/A,#N/A
571AF,571PG,19.737,39.474,#N/A,#N/A
571AF,571PH,4.507,9.014,#N/A,#N/A
571AF,571AE,15.27,30.54,#N/A,#N/A
571AF,571HP,17.226,34.452,#N/A,#N/A
571AF,571QF,14.66,29.32,#N/A,#N/A
571AF,571QA,6.202,12.404,#N/A,#N/A
571AF,571QC,15.341,30.682,#N/A,#N/A
571AF,571QD,9.049,18.098,#N/A,#N/A
571AF,571QE,13.249,26.498,#N/A,#N/A
571AF,571QM,33.618,72.236,#N/A,#N/A
571AF,571L,87.284,174.568,#N/A,#N/A
571AF,571LA,85.796,171.592,#N/A,#N/A
571AF,571SF,160.684,321.368,#N/A,#N/A
571AF,571SA,139.288,278.576,#N/A,#N/A
571AF,571SE,134.269,268.538,#N/A,#N/A
571AF,571SP,154.861,309.722,#N/A,#N/A
571AF,571SQ,114.121,228.242,#N/A,#N/A
571AF,571ST,128.295,256.59,#N/A,#N/A
571AF,571NB,18.734,37.468,#N/A,#N/A
571AF,571NH,20.265,40.53,#N/A,8
571AF,571QB,26.326,52.652,#N/A,#N/A
571AF,571FX,20.067,45.134,#N/A,#N/A
571AF,571KM,18.169,41.338,#N/A,#N/A
571AF,571TC,29.554,59.108,#N/A,#N/A
571AF,571TB,17.209,34.418,#N/A,#N/A
571AF,571TE,27.388,54.776,#N/A,#N/A
571AF,571TK,15.996,31.992,#N/A,#N/A
571AF,571TP,26.975,53.95,#N/A,4
571AF,571W,21.845,43.69,#N/A,#N/A
571AF,571WA,27.112,59.224,#N/A,#N/A
571AF,571WW,32.59,70.18,#N/A,5
571AG,571AA,16.209,32.418,#N/A,#N/A
571AG,571AD,12.468,24.936,#N/A,#N/A
571AG,571AF,16.048,32.096,#N/A,#N/A
571AG,571AC,34.414,68.828,#N/A,#N/A
571AG,571AQ,41.941,83.882,#N/A,#N/A
571AG,571AM,21.418,42.836,#N/A,#N/A
571AG,571AB,43.206,86.412,#N/A,#N/A
571AG,571JC,44.428,88.856,#N/A,#N/A
